source_id,variable,source_level,source_name,source_url,cross_check_url,publish_date,access_date,evidence_file,is_primary,note
SRC_CASE03_NBS_POP_01,resident_population_10k_person,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,,2026-03-27,nbs_resident_population_10k_person.csv,1,当前环境NBS在线接口不可达，使用本地缓存回填; 指标代码=A030101; 单位=万人
SRC_CASE03_POP2024_SHORT_01,resident_population_10k_person,B,www.beijing.gov.cn（2024人口发布）,https://www.beijing.gov.cn/renwen/bjgk/rk/202503/t20250325_4043973.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=41; query=北京市 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_02,resident_population_10k_person,A,tjj.hebei.gov.cn（2024人口发布）,http://tjj.hebei.gov.cn/hbstjj/sj/fbh/101758793797686.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=47; query=河北省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_03,resident_population_10k_person,A,tjj.zj.gov.cn（2024人口发布）,http://tjj.zj.gov.cn/art/2025/3/1/art_1229129205_5469687.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=47; query=浙江省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_04,resident_population_10k_person,B,www.ahjgbzw.gov.cn（2024人口发布）,http://www.ahjgbzw.gov.cn/special/detail/?_id=67f330607f8b9add4a8b4576,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=51; query=安徽省 2024 统计公报 常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_05,resident_population_10k_person,B,gzjkq.ganzhou.gov.cn（2024人口发布）,https://gzjkq.ganzhou.gov.cn/jkqxxgk/tjxx/202502/5965234c199049a39b1cf075030ae0cf.shtml,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=41; query=江西省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_06,resident_population_10k_person,A,tjj.henan.gov.cn（2024人口发布）,https://tjj.henan.gov.cn/2025/04-02/3143962.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=50; query=河南省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_07,resident_population_10k_person,B,www.qb.gd.gov.cn（2024人口发布）,http://www.qb.gd.gov.cn/tzgd/content/post_1285920.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=47; query=广东省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_08,resident_population_10k_person,B,geo.hainan.gov.cn（2024人口发布）,https://geo.hainan.gov.cn/sdzj/hygq/202504/201d4bbad0c24dd095a083dcbce38f49.shtml,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=37; query=海南省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_09,resident_population_10k_person,B,www.scls.gov.cn（2024人口发布）,https://www.scls.gov.cn/lsxrmzf/c116485/pc/content/content_1903247949427687424.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=44; query=四川省 常住人口 2024 统计局 site:gov.cn
SRC_CASE03_POP2024_SHORT_10,resident_population_10k_person,B,nynct.guizhou.gov.cn（2024人口发布）,http://nynct.guizhou.gov.cn/zwgk/xxgkml/ghjh/202505/t20250529_87943874.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=33; query=贵州省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_11,resident_population_10k_person,B,www.shaanxi.gov.cn（2024人口发布）,http://www.shaanxi.gov.cn/sq/sxgk/rkhmz/202011/t20201120_2046834_wap.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=44; query=陕西省 2024 统计公报 常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_12,resident_population_10k_person,B,www.qinghai.gov.cn（2024人口发布）,http://www.qinghai.gov.cn/zwgk/system/2025/01/22/030063696.shtml,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=41; query=青海省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_R3_TJ,resident_population_10k_person,A,天津市人民政府-2024年天津市国民经济和社会发展统计公报,https://www.tj.gov.cn/sq/tjgb/202503/t20250324_6890361.html,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_SX,resident_population_10k_person,A,山西省统计局-2024年山西省国民经济和社会发展统计公报,http://tjj.shanxi.gov.cn/tjsj/tjgb/ndtjgb/202503/t20250327_9797517.shtml,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_NM,resident_population_10k_person,A,内蒙古自治区人民政府-人口（2024年人口主要数据）,https://www.nmg.gov.cn/asnmg/shjj/rk/index_2383.html,,,2026-03-27,population_2024_round3_evidence.csv,0,自治区政府省情页，人口抽样调查推算数据。
SRC_CASE03_POP2024_R3_LN,resident_population_10k_person,A,辽宁省人民政府-人口与民族（来源省统计局）,https://www.ln.gov.cn/web/sqgk/rkymz/2025101310563144642/index.shtml,,,2026-03-27,population_2024_round3_evidence.csv,0,省政府发布页面注明来源为省统计局网站。
SRC_CASE03_POP2024_R3_JL,resident_population_10k_person,A,吉林省统计局-2024年吉林省国民经济和社会发展统计公报,https://tjj.jl.gov.cn/tjsj/tjgb/ndgb/202503/t20250324_3419691.html,,,2026-03-27,population_2024_round3_evidence.csv,0,公报以“全省总人口”表述，后接城镇常住人口结构信息。
SRC_CASE03_POP2024_R3_HLJ,resident_population_10k_person,A,黑龙江省人民政府-2024年黑龙江省国民经济和社会发展统计公报,https://www.hlj.gov.cn/hlj/c108419/202504/c00_31866784.shtml,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_SH,resident_population_10k_person,A,上海市统计局-2024年上海市国民经济和社会发展统计公报,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_JS,resident_population_10k_person,A,江苏省人民政府-人口区划（2024年末常住人口）,https://www.jiangsu.gov.cn/col/col88749/index.html,,,2026-03-27,population_2024_round3_evidence.csv,0,江苏政府省情页人口条目，含2024年末常住人口。
SRC_CASE03_POP2024_R3_FJ,resident_population_10k_person,A,福建省人民政府-2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_SD,resident_population_10k_person,A,山东省统计局-2024年山东省国民经济和社会发展统计公报,http://tjj.shandong.gov.cn/art/2025/3/5/art_104039_10316728.html,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_HB,resident_population_10k_person,A,湖北省统计局-2024年湖北省国民经济和社会发展统计公报,https://tjj.hubei.gov.cn/tjsj/tjgb/ndtjgb/qstjgb/202503/t20250321_5585085.shtml,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_HN,resident_population_10k_person,A,湖南省人民政府-2024年湖南省国民经济和社会发展统计公报,http://www.hunan.gov.cn/hnszf/zfsj/tjgb/202503/t20250321_33620617.html,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_CQ,resident_population_10k_person,A,重庆市统计局-2024年重庆市国民经济和社会发展统计公报,https://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202503/t20250326_14443791_wap.html,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_YN,resident_population_10k_person,B,云南人大网-转载《云南省2024年国民经济和社会发展统计公报》,https://www.ynrd.gov.cn/html/2025/yaowenzixun_0408/4032748.html,,,2026-03-27,population_2024_round3_evidence.csv,0,省级人大站转载统计公报文本（非统计局原站）。
SRC_CASE03_POP2024_R3_GS,resident_population_10k_person,A,甘肃省人民政府-2024年甘肃省国民经济和社会发展统计公报,https://www.gansu.gov.cn/gsszf/gsyw/202503/174095898.shtml,,,2026-03-27,population_2024_round3_evidence.csv,0,目标页对 requests 返回 412，采用浏览器渲染提取正文。
SRC_CASE03_POP2024_R3_NX,resident_population_10k_person,B,宁夏日报电子版-转载《宁夏回族自治区2024年国民经济和社会发展统计公报》,https://szb.nxrb.cn/nxrb/pad/con/202504/25/content_157253.html,,,2026-03-27,population_2024_round3_evidence.csv,0,宁夏日报电子版转载统计公报全文。
SRC_CASE03_POP2024_R3_XJ,resident_population_10k_person,A,新疆维吾尔自治区人民政府-2024年国民经济和社会发展统计公报,https://www.xinjiang.gov.cn/xinjiang/tjgb/202503/f0578f74e4e04369af0ee82566586397.shtml,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
SRC_CASE03_POP2024_R3_GX,resident_population_10k_person,A,广西壮族自治区统计局-2024年广西壮族自治区国民经济和社会发展统计公报,http://tjj.gxzf.gov.cn/tjsj/tjgb/qqgb/t19769919.shtml,,,2026-03-27,population_2024_round3_evidence.csv,0,2024统计公报正文口径。
